mu phi sigma nu
-0.5809 0.9829 0.1123 9
-0.5073 0.9825 0.1121 10
-0.2053 0.9857 0.1107 8
-0.2168 0.9765 0.1118 11
-0.4136 0.9800 0.1108 9
-0.5252 0.9772 0.1171 7
-0.5763 0.9800 0.1188 9
-0.3347 0.9854 0.1160 9
-0.5514 0.9857 0.1174 10
-0.4028 0.9811 0.1178 10
-0.3765 0.9814 0.1123 9
-0.3294 0.9876 0.1149 9
-0.3286 0.9829 0.1134 8
-0.5977 0.9803 0.1113 9
-0.4273 0.9809 0.1098 8
-0.6564 0.9848 0.1105 8
-0.2721 0.9857 0.1088 9
-0.5801 0.9820 0.1081 7
-0.5178 0.9836 0.1076 7
-0.5019 0.9840 0.1051 10
-0.4829 0.9883 0.1072 8
-0.2984 0.9845 0.1057 8
-0.4185 0.9885 0.1056 10
-0.4741 0.9856 0.1009 9
-0.5836 0.9870 0.1033 10
-0.6435 0.9823 0.1014 10
-0.3872 0.9809 0.1041 11
-0.5853 0.9852 0.1073 9
-0.4528 0.9781 0.1052 9
-0.4081 0.9784 0.1022 8
-0.3980 0.9773 0.1044 12
-0.2778 0.9894 0.1098 8
-0.2571 0.9806 0.1082 9
-0.3964 0.9799 0.1076 8
-0.4124 0.9770 0.1110 10
-0.5297 0.9811 0.1107 9
-0.5303 0.9791 0.1063 11
-0.3146 0.9847 0.1035 10
-0.2958 0.9867 0.1043 11
-0.4642 0.9850 0.1059 10
-0.5518 0.9745 0.1065 10
-0.4385 0.9757 0.1083 10
-0.4670 0.9812 0.1120 10
-0.5591 0.9852 0.1104 11
-0.5882 0.9777 0.1089 9
-0.6280 0.9840 0.1080 9
-0.1002 0.9871 0.1095 10
-0.2464 0.9848 0.1036 8
-0.0976 0.9850 0.1060 9
-0.0362 0.9908 0.1065 9
-0.8839 0.9899 0.1023 9
-0.0234 0.9906 0.1035 9
-0.7531 0.9889 0.1023 9
-0.5194 0.9834 0.1020 10
-0.1947 0.9905 0.1034 8
-0.4673 0.9831 0.1008 10
-0.4735 0.9856 0.0997 8
-0.3711 0.9865 0.0996 11
-0.4525 0.9824 0.0985 9
-0.3087 0.9809 0.1050 12
-0.2632 0.9842 0.1042 9
-0.2152 0.9906 0.1004 11
-0.3462 0.9825 0.1044 9
-0.2157 0.9955 0.1034 18
0.1594 0.9938 0.1039 12
-0.7239 0.9900 0.1051 9
-0.4227 0.9788 0.1029 12
-0.6532 0.9855 0.1069 9
-0.5583 0.9910 0.1058 10
-0.3391 0.9888 0.1043 10
-0.4178 0.9858 0.1043 12
-0.5166 0.9770 0.1085 9
-0.3319 0.9856 0.1086 9
-0.1461 0.9863 0.1100 10
-0.4039 0.9815 0.1084 12
-0.3445 0.9806 0.1078 9
-0.4331 0.9840 0.1073 10
-0.6139 0.9801 0.1098 8
-0.3415 0.9817 0.1058 12
-0.3952 0.9826 0.1047 12
-0.5051 0.9857 0.1074 9
-0.6949 0.9777 0.1112 9
-0.5581 0.9825 0.1142 10
-0.1986 0.9853 0.1106 9
-0.5452 0.9900 0.1073 8
-0.1243 0.9828 0.1071 10
-0.4863 0.9827 0.1111 10
-0.4666 0.9767 0.1117 10
-0.4399 0.9782 0.1115 8
-0.7264 0.9871 0.1112 9
-0.4884 0.9810 0.1107 8
-0.5751 0.9824 0.1147 8
-0.3407 0.9811 0.1118 9
-0.5272 0.9811 0.1158 10
-0.3461 0.9744 0.1156 10
-0.4224 0.9769 0.1184 13
-0.5073 0.9795 0.1171 10
-0.1601 0.9866 0.1146 11
-0.4150 0.9841 0.1167 10
-0.3312 0.9809 0.1139 9
-0.3285 0.9814 0.1176 11
-0.2055 0.9861 0.1182 10
-0.2552 0.9853 0.1153 10
-0.3951 0.9841 0.1153 8
-0.3598 0.9726 0.1192 14
-0.5870 0.9820 0.1168 10
-0.3117 0.9826 0.1189 10
-0.3131 0.9800 0.1177 10
-0.5178 0.9891 0.1199 10
-0.0663 0.9852 0.1161 11
-0.7051 0.9852 0.1180 10
-0.5173 0.9831 0.1180 11
-0.3758 0.9812 0.1161 11
-0.5209 0.9806 0.1179 14
-0.1510 0.9781 0.1185 10
-0.5462 0.9745 0.1179 8
-0.4343 0.9816 0.1142 10
-0.6229 0.9792 0.1189 10
-0.3795 0.9758 0.1183 11
-0.3509 0.9798 0.1146 15
-0.7141 0.9902 0.1216 12
-0.6580 0.9795 0.1238 10
-0.2919 0.9831 0.1218 12
-0.4410 0.9788 0.1211 13
-0.2331 0.9729 0.1227 14
-0.4206 0.9773 0.1245 10
-0.3115 0.9795 0.1244 10
-0.7118 0.9870 0.1245 10
-0.1846 0.9794 0.1270 8
-0.3620 0.9765 0.1277 13
-0.2055 0.9833 0.1251 13
-0.2575 0.9729 0.1288 12
-0.3203 0.9795 0.1256 14
-0.5843 0.9801 0.1204 14
-0.4752 0.9771 0.1275 12
-0.4068 0.9848 0.1236 11
-0.3956 0.9794 0.1223 10
-0.0478 0.9874 0.1235 16
-0.3831 0.9787 0.1239 12
-0.3939 0.9794 0.1255 12
-0.2174 0.9774 0.1193 11
-0.2925 0.9713 0.1212 10
-0.3382 0.9714 0.1200 10
-0.3334 0.9761 0.1178 13
-0.3673 0.9817 0.1206 11
-0.5605 0.9867 0.1192 9
-0.4454 0.9741 0.1215 12
-0.3252 0.9783 0.1197 9
-0.5952 0.9865 0.1213 11
-0.2763 0.9867 0.1202 10
-0.2930 0.9785 0.1168 15
-0.3176 0.9810 0.1188 17
-0.3793 0.9685 0.1162 12
-0.3416 0.9873 0.1153 15
-0.5615 0.9828 0.1183 15
-0.0758 0.9788 0.1190 14
-0.2938 0.9825 0.1166 12
-0.6694 0.9788 0.1119 9
-0.3726 0.9813 0.1128 10
-0.4934 0.9740 0.1155 11
-0.5503 0.9831 0.1176 15
-0.3521 0.9769 0.1209 20
-0.3197 0.9808 0.1228 9
-0.3186 0.9786 0.1227 14
-0.3394 0.9802 0.1214 11
-0.3390 0.9764 0.1202 10
-0.3942 0.9791 0.1218 15
-0.4585 0.9805 0.1227 10
-0.2363 0.9764 0.1195 11
-0.2843 0.9833 0.1147 10
-0.2701 0.9833 0.1168 13
-0.3318 0.9843 0.1165 10
-0.2327 0.9838 0.1147 10
-0.2260 0.9770 0.1159 12
-0.3001 0.9844 0.1198 12
-0.4818 0.9796 0.1191 10
-0.4109 0.9807 0.1209 10
-0.5219 0.9827 0.1220 14
-0.7153 0.9804 0.1229 12
-0.3602 0.9749 0.1246 10
-0.1608 0.9812 0.1258 8
-0.3956 0.9813 0.1277 14
0.0164 0.9825 0.1268 11
-0.5318 0.9784 0.1233 11
-0.2612 0.9700 0.1211 12
-0.3549 0.9802 0.1227 13
-0.4392 0.9850 0.1224 11
-0.3749 0.9767 0.1223 14
-0.3085 0.9810 0.1221 12
-0.2129 0.9825 0.1258 11
-0.6176 0.9763 0.1236 8
-0.3837 0.9744 0.1213 12
-0.3215 0.9716 0.1244 11
-0.3852 0.9833 0.1264 9
-0.4069 0.9712 0.1251 9
-0.5335 0.9781 0.1240 11
-0.3292 0.9833 0.1206 11
-0.3138 0.9783 0.1203 10
-0.4663 0.9777 0.1203 10
-0.3940 0.9766 0.1182 9
