mu phi sigma nu
-0.4095 0.9864 0.0928 14
-0.3447 0.9716 0.1197 15
-0.5473 0.9775 0.1068 9
-0.3129 0.9906 0.0911 11
-0.3829 0.9865 0.1148 6
-0.2459 0.9871 0.1062 11
-0.2371 0.9791 0.1264 12
-0.7097 0.9785 0.1352 15
-0.3707 0.9800 0.1323 13
-0.1738 0.9849 0.0940 13
-0.3611 0.9718 0.1408 9
-0.4213 0.9885 0.0971 11
-0.1684 0.9803 0.1402 15
-0.8502 0.9869 0.1095 8
-0.7181 0.9844 0.1097 9
-0.8328 0.9902 0.1254 17
-0.2830 0.9800 0.1077 12
-0.4639 0.9905 0.0985 8
-0.1865 0.9859 0.1280 10
-0.2834 0.9890 0.1084 19
-0.8151 0.9862 0.1251 9
-0.6055 0.9935 0.0975 11
-0.4568 0.9881 0.1070 12
-0.9186 0.9906 0.0963 10
-0.1822 0.9885 0.0953 9
-0.5119 0.9857 0.0997 11
-0.5059 0.9828 0.1498 16
-0.4468 0.9798 0.1327 17
-0.3560 0.9831 0.1170 12
-0.5931 0.9879 0.0912 10
-0.4475 0.9817 0.1057 9
-0.5624 0.9868 0.1154 7
-0.3350 0.9800 0.1075 8
-0.3531 0.9800 0.1073 9
-0.3718 0.9822 0.1247 14
-0.2540 0.9787 0.1344 13
-0.2441 0.9892 0.1092 13
-0.1840 0.9840 0.1099 16
0.1649 0.9946 0.0973 16
-0.6678 0.9833 0.1171 8
-0.3060 0.9894 0.0976 13
-0.4073 0.9865 0.1089 7
-0.3903 0.9781 0.1247 9
-0.2194 0.9771 0.1219 12
-0.5147 0.9907 0.0824 13
-0.1852 0.9828 0.1272 10
-0.3481 0.9850 0.1049 9
-0.0905 0.9752 0.1353 16
-0.4182 0.9841 0.1124 12
-0.5246 0.9757 0.1249 12
-0.2396 0.9861 0.1118 11
-0.5066 0.9854 0.1159 9
-0.2404 0.9835 0.1173 15
-0.3973 0.9800 0.1093 17
-0.1393 0.9866 0.0995 8
-0.5175 0.9880 0.1081 12
-0.3324 0.9865 0.1050 13
-0.0616 0.9886 0.0895 10
-0.1822 0.9807 0.1252 12
-0.3521 0.9778 0.1128 10
-0.3863 0.9802 0.1064 10
-0.3752 0.9783 0.1014 8
-0.3276 0.9823 0.1161 10
-0.6629 0.9819 0.1248 16
-0.5140 0.9803 0.1047 9
-0.5388 0.9806 0.1302 9
-0.1706 0.9781 0.1165 20
-0.3561 0.9668 0.1271 12
-0.4505 0.9828 0.0874 9
-0.2827 0.9833 0.1081 10
-0.3753 0.9814 0.1004 8
-0.0953 0.9911 0.0919 13
-0.4115 0.9856 0.1307 14
-0.1632 0.9924 0.1000 8
-0.1725 0.9807 0.1061 13
-0.2552 0.9782 0.1593 9
-0.4525 0.9878 0.1050 7
-0.1046 0.9913 0.0995 12
-0.5945 0.9820 0.1129 8
-0.1953 0.9902 0.0955 9
-0.4867 0.9873 0.0847 14
