mu phi sigma rho nu
-0.4248 0.9598 0.1694 -0.2723 13
-0.4290 0.9610 0.1665 -0.3039 15
-0.4319 0.9625 0.1657 -0.2813 9
-0.4296 0.9638 0.1709 -0.2891 15
-0.4358 0.9615 0.1673 -0.3213 11
-0.4148 0.9638 0.1633 -0.3122 18
-0.4290 0.9647 0.1647 -0.2922 11
-0.4315 0.9594 0.1687 -0.3048 11
-0.4196 0.9631 0.1618 -0.2704 12
-0.4311 0.9640 0.1667 -0.2758 12
-0.4426 0.9617 0.1715 -0.2738 11
-0.4258 0.9620 0.1680 -0.2311 10
-0.4336 0.9632 0.1618 -0.2771 10
-0.4353 0.9632 0.1677 -0.2923 12
-0.4172 0.9627 0.1661 -0.3265 10
-0.4252 0.9632 0.1584 -0.3299 11
-0.4289 0.9640 0.1611 -0.2363 12
-0.4341 0.9628 0.1589 -0.2749 11
-0.4443 0.9628 0.1588 -0.3026 9
-0.4294 0.9633 0.1628 -0.2916 14
-0.4328 0.9631 0.1592 -0.2793 12
-0.4226 0.9636 0.1617 -0.3014 14
-0.4398 0.9635 0.1699 -0.3316 10
-0.4596 0.9621 0.1676 -0.2925 9
-0.4769 0.9565 0.1768 -0.3639 9
-0.4756 0.9609 0.1756 -0.3429 8
-0.4564 0.9574 0.1761 -0.2602 8
-0.4576 0.9554 0.1758 -0.2374 12
-0.4595 0.9557 0.1716 -0.1634 10
-0.4382 0.9591 0.1698 -0.1934 9
-0.4375 0.9546 0.1757 -0.2186 10
-0.4732 0.9527 0.1779 -0.2758 12
-0.4616 0.9528 0.1847 -0.2874 9
-0.4436 0.9518 0.1838 -0.2468 9
-0.4501 0.9524 0.1832 -0.2659 8
-0.4602 0.9525 0.1830 -0.2603 12
-0.4621 0.9546 0.1758 -0.2141 11
-0.4751 0.9601 0.1731 -0.2091 13
-0.4729 0.9602 0.1768 -0.2499 11
-0.4728 0.9604 0.1803 -0.2620 14
-0.4584 0.9555 0.1784 -0.2606 11
-0.4558 0.9549 0.1783 -0.2537 9
-0.4696 0.9537 0.1716 -0.2162 10
-0.4658 0.9546 0.1757 -0.2562 9
-0.4630 0.9564 0.1710 -0.2434 9
-0.4672 0.9564 0.1801 -0.2985 8
-0.4920 0.9546 0.1780 -0.3296 10
-0.4783 0.9565 0.1749 -0.3363 10
-0.4736 0.9573 0.1688 -0.2972 8
-0.4688 0.9617 0.1618 -0.2477 11
-0.4643 0.9593 0.1673 -0.2482 10
-0.4398 0.9561 0.1744 -0.2351 11
-0.4692 0.9591 0.1666 -0.2333 10
-0.4577 0.9607 0.1679 -0.2534 8
-0.4435 0.9591 0.1674 -0.2567 12
-0.4510 0.9607 0.1623 -0.2735 8
-0.4632 0.9632 0.1574 -0.2753 8
-0.4552 0.9654 0.1587 -0.2898 8
-0.4428 0.9649 0.1565 -0.2687 8
-0.4461 0.9625 0.1571 -0.2498 8
-0.4673 0.9626 0.1585 -0.2386 10
-0.4686 0.9630 0.1593 -0.2424 11
-0.4696 0.9585 0.1610 -0.2655 9
-0.4589 0.9621 0.1663 -0.2719 11
-0.4802 0.9615 0.1621 -0.2693 7
-0.4717 0.9627 0.1648 -0.2761 9
-0.4712 0.9628 0.1646 -0.2659 10
-0.4767 0.9619 0.1635 -0.3369 8
-0.4803 0.9621 0.1589 -0.2762 10
-0.4729 0.9565 0.1636 -0.2146 9
-0.4682 0.9612 0.1611 -0.2191 10
-0.4431 0.9565 0.1608 -0.2128 11
-0.4567 0.9609 0.1633 -0.2107 8
-0.4558 0.9612 0.1633 -0.2244 11
-0.4449 0.9618 0.1572 -0.1740 10
-0.4463 0.9621 0.1471 -0.1904 8
-0.4486 0.9648 0.1541 -0.1994 8
-0.4556 0.9639 0.1555 -0.2629 8
-0.4439 0.9634 0.1520 -0.2440 9
-0.4493 0.9678 0.1451 -0.2202 9
-0.4529 0.9644 0.1462 -0.2721 8
-0.4468 0.9650 0.1391 -0.2574 8
-0.4575 0.9707 0.1372 -0.2287 11
-0.4328 0.9711 0.1360 -0.2371 9
-0.4590 0.9712 0.1361 -0.2865 11
-0.4321 0.9667 0.1358 -0.2707 10
-0.4402 0.9719 0.1354 -0.2771 10
-0.4575 0.9722 0.1337 -0.3176 9
-0.4596 0.9716 0.1312 -0.3018 13
-0.4484 0.9719 0.1310 -0.2616 10
-0.4484 0.9712 0.1319 -0.2764 9
-0.4301 0.9758 0.1327 -0.3082 12
