mu phi sigma rho nu
-0.3339 0.9599 0.1983 -0.3180 24
-0.2354 0.9640 0.1704 -0.2588 33
-0.3564 0.9561 0.1887 -0.4376 11
-0.4753 0.9541 0.1870 -0.5047 12
-0.4270 0.9789 0.1269 -0.1300 12
-0.4771 0.9709 0.1413 -0.3784 12
-0.3458 0.9620 0.1770 -0.3719 29
-0.4040 0.9393 0.2366 -0.3194 15
-0.3025 0.9477 0.2208 -0.2246 34
-0.3191 0.9540 0.2068 -0.3782 31
-0.4733 0.9537 0.1805 -0.0880 8
-0.4169 0.9475 0.1895 -0.2710 13
-0.3550 0.9564 0.1818 -0.3107 27
-0.4040 0.9643 0.1406 -0.2335 11
-0.4368 0.9813 0.1220 -0.4170 8
-0.4103 0.9646 0.1765 -0.3882 11
-0.4115 0.9454 0.2278 -0.2638 9
-0.3979 0.9772 0.1293 -0.1813 11
-0.4424 0.9748 0.1392 -0.2904 9
-0.3740 0.9525 0.1893 -0.3499 16
-0.4414 0.9619 0.1814 -0.3820 13
-0.4130 0.9730 0.1482 -0.1601 10
-0.4024 0.9690 0.1524 -0.2328 11
-0.3372 0.9452 0.2195 -0.3676 24
-0.3681 0.9607 0.1601 -0.1636 13
-0.4162 0.9609 0.1924 -0.4309 10
-0.3816 0.9755 0.1393 -0.2988 13
-0.3809 0.9737 0.1521 -0.1043 12
-0.4251 0.9595 0.1856 -0.3232 19
-0.3858 0.9630 0.1633 -0.4133 15
-0.3211 0.9663 0.1839 -0.3511 21
-0.3634 0.9573 0.1901 -0.4139 22
-0.3699 0.9435 0.1782 -0.2861 16
-0.2705 0.9536 0.1931 -0.2632 22
-0.4862 0.9651 0.1558 -0.2335 8
-0.3407 0.9594 0.1766 -0.1515 17
-0.3842 0.9719 0.1581 -0.3107 15
-0.3965 0.9761 0.1524 -0.4134 17
-0.3678 0.9580 0.1835 -0.3592 16
-0.2983 0.9571 0.1799 -0.3746 15
-0.4791 0.9636 0.1696 -0.3252 10
-0.3050 0.9585 0.1770 -0.3570 32
-0.4756 0.9716 0.1343 -0.0882 9
-0.3519 0.9562 0.1781 -0.2514 25
-0.4305 0.9617 0.1579 -0.2667 14
-0.3670 0.9560 0.1997 -0.5586 13
-0.4026 0.9723 0.1392 -0.2822 9
-0.3557 0.9576 0.1734 -0.4059 16
-0.4412 0.9759 0.1358 -0.3556 10
-0.3644 0.9706 0.1422 -0.2118 14
-0.3404 0.9723 0.1377 -0.3315 12
